年　　別,平均每人GDP-金額 (元),平均每人GDP-年增率(％),平均每人GDP-折合美元 (美元),平均每人GDP-年增率(％),平均每人GNI-金額 (元),平均每人GNI-折合美元 (美元),平均每人國民所得-金額 (元),平均每人國民所得-折合美元 (美元),平均每人民間消費支出-金額 (元),平均每人民間消費支出-折合美元 (美元),,,,
102年,"654,142",3.71,"21,973",3.18,"671,384","22,552","565,198","18,985","353,073","11,860",,,,
103年,"694,680",6.20,"22,874",4.10,"713,443","23,492","607,264","19,996","367,586","12,104",,,,
104年,"726,895",4.64,"22,780",-0.41,"745,634","23,367","633,367","19,849","374,530","11,737",,,,
105年,"746,526",2.70,"23,091",1.37,"765,711","23,684","650,854","20,132","386,209","11,946",,,,
106年,"763,445",2.27,"25,080",8.61,"782,437","25,704","667,945","21,943","395,902","13,006",,,,
107年,"779,260",2.07,"25,838",3.02,"796,852","26,421","677,201","22,454","407,568","13,514",,,,
108年,"801,348",2.83,"25,908",0.27,"821,527","26,561","691,326","22,351","418,844","13,542",,,,
109年,"839,558",4.77,"28,383",9.55,"863,806","29,202","726,396","24,557","407,103","13,763",,,,
110年,"924,619",10.13,"33,004",16.28,"942,391","33,638","795,519","28,396","413,165","14,745",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,2,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
